PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40626384,"Establishing a Maternal Health Task Force: Lessons Learned From Illinois, North Carolina, and Ohio, 2019-2024.",2025,Allison Stevens; Rebecca Severin; Rashelle Ghanem; Hallie Kerr; Ushma Mehta; Lily Stevens,"Ohio Department of Health, Columbus, OH, USA.; Women, Infant, and Community Wellness Section, North Carolina Department of Health and Human Services, Raleigh, NC, USA.; Ohio Department of Health, Columbus, OH, USA.; Ohio Department of Health, Columbus, OH, USA.; Women, Infant, and Community Wellness Section, North Carolina Department of Health and Human Services, Raleigh, NC, USA.; Women, Infant, and Community Wellness Section, North Carolina Department of Health and Human Services, Raleigh, NC, USA.",Not Found
40626318,Leveraged Vaccination to Alleviate Original Antigenic Sin for Enhancing Broad-Neutralizing Antibody Response against SARS-CoV-2 Omicron Subvariants.,2025,Kai Ji; Xishan Lu; Bo Ying,"Suzhou Abogen Biosciences Co., Ltd. Suzhou Jiangsu China.; Suzhou Abogen Biosciences Co., Ltd. Suzhou Jiangsu China.; Suzhou Abogen Biosciences Co., Ltd. Suzhou Jiangsu China.",Not Found
40626166,"COVID-19 testing experiences and attitudes among young adults and socially isolated older adults living in public housing, New York City (2022).",2025,Malcolm Punter; Jeremy Reiss,"Harlem Congregations for Community Improvement, New York, NY, United States.; Henry Street Settlement, New York, NY, United States.",Not Found
40626159,Impact of the COVID-19 pandemic on the consumption of antibiotics and the emergence of AMR: case study in a general hospital.,2025,Urška Kramar,"National Laboratory of Health, Environment and Food, Maribor, Slovenia.",Not Found
40626111,A stratified approach to hospital surge capacity during the COVID-19 pandemic in Tokyo.,2025,Masataka Inokuchi; Taketomo Omomo; Tomoyo Narita,Social Medical Corporation Seishikai Machidashi Tokyo Japan.; Social Medical Corporation Seishikai Machidashi Tokyo Japan.; Tokyo Metropolitan Government Bureau of Public Health Shinjyukuku Tokyo Japan.,Not Found
40626106,"Learning from the best: How medical-students construct role models in general practice during the COVID-19 pandemic and what factors influence this process, a qualitative study.",2024,Jane Andrews,"WMG, Coventry, England, UK.",Not Found
40625789,Enhancing the response to avian influenza in the US and globally.,2025,Maggie L Bartlett; Sten H Vermund; Christian Bréchot,"Global Virus Network, Tampa, FL, USA.; Global Virus Network, Tampa, FL, USA.; Global Virus Network, Tampa, FL, USA.",Not Found
40625729,Intimate partner and family violence and mental health during the SARS-CoV-2 pandemic: a multi-country survey.,2025,Oliva Nalwadda; Mathew Mutiso,"Uzima Ari, Kampala, Uganda.; Coalition Action for Preventive Mental Health, Nairobi, Kenya.",Not Found
40625259,Delivery of malaria services during a pandemic: lessons from COVID-19 in Nigeria.,2025,Emma K Manning; Olusola Oresanya; James K Tibenderana; Kolawole Maxwell,"Malaria Consortium, 244-254 Cambridge Heath Road, London E2 9DA, UK.; Malaria Consortium, 33 Pope John Paul II St, Maitama 904101, Abuja, Federal Capital Territory, Nigeria.; Malaria Consortium, 244-254 Cambridge Heath Road, London E2 9DA, UK.; Malaria Consortium, 33 Pope John Paul II St, Maitama 904101, Abuja, Federal Capital Territory, Nigeria.",Not Found
40625136,Retrospective evaluation of measures in the field of occupational health services during the COVID-19 epidemic.,2025,Matyáš Fošum,"Ministry of Health, Prague, Czech Republic.",Not Found
